Atomic_mass,Atomic_no,Atomic_orbitals,Atomic_radius,Atomic_radius_calculated,Boiling_point,Brinell_hardness,Bulk_modulus,Coefficient_of_linear_thermal_expansion,Common_oxidation_states,Critical_temperature,Density_of_solid,Electrical_resistivity,Electronic_structure,ICSD_oxidation_states,Liquid_range,Melting_point,Mendeleev_no,Mineral_hardness,Molar_volume,Name,Oxidation_states,Poissons_ratio,Reflectivity,Refractive_index,Rigidity_modulus,Shannon_radii,Superconduction_temperature,Thermal_conductivity,Van_der_waals_radius,Velocity_of_sound,Vickers_hardness,X,Youngs_modulus,NMR_Quadrupole_Moment,Metallic_radius,iupac_ordering,IUPAC_ordering,symbol,Z,average_anionic_radius,average_cationic_radius,average_ionic_radius,block,full_electronic_structure,group,icsd_oxidation_states,ionic_radii,is_actinoid,is_alkali,is_alkaline,is_chalcogen,is_halogen,is_lanthanoid,is_metal,is_metalloid,is_noble_gas,is_post_transition_metal,is_quadrupolar,is_rare_earth_metal,is_transition_metal,long_name,max_oxidation_state,min_oxidation_state,number,row,valence,Max_oxidation_state,Min_oxidation_state,Ionic_radii,Ionic_radii_hs,Ionic_radii_ls,Ionic_radii_-1,Ionic_radii_7,Ionic_radii_5,Ionic_radii_8,Ionic_radii_4,Ionic_radii_1,Ionic_radii_2,Ionic_radii_-2,Ionic_radii_-3,Ionic_radii_6,Ionic_radii_3
55.845,26.0,"{'1s': -254.225505, '2p': -25.551766, '2s': -29.56486, '3d': -0.295049, '3p': -2.187523, '3s': -3.360621, '4s': -0.197978}",1.4,1.56,3134 K,490 MN m<sup>-2</sup>,170 GPa,11.8 x10<sup>-6</sup>K<sup>-1</sup>,"[2, 3]",no data K,7874 kg m<sup>-3</sup>,10 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>6</sup>.4s<sup>2</sup>,"[2, 3]",1323 K,1811 K,61.0,4.0,7.09 cm<sup>3</sup>,Iron,"[-2, -1, 1, 2, 3, 4, 5, 6]",0.29,65 %,no data,82 GPa,"{'2': {'IV': {'High Spin': {'crystal_radius': 0.77, 'ionic_radius': 0.63}}, 'IVSQ': {'High Spin': {'crystal_radius': 0.78, 'ionic_radius': 0.64}}, 'VI': {'Low Spin': {'crystal_radius': 0.75, 'ionic_radius': 0.61}, 'High Spin': {'crystal_radius': 0.92, 'ionic_radius': 0.78}}, 'VIII': {'High Spin': {'crystal_radius': 1.06, 'ionic_radius': 0.92}}}, '3': {'IV': {'High Spin': {'crystal_radius': 0.63, 'ionic_radius': 0.49}}, 'V': {'': {'crystal_radius': 0.72, 'ionic_radius': 0.58}}, 'VI': {'Low Spin': {'crystal_radius': 0.69, 'ionic_radius': 0.55}, 'High Spin': {'crystal_radius': 0.785, 'ionic_radius': 0.645}}, 'VIII': {'High Spin': {'crystal_radius': 0.92, 'ionic_radius': 0.78}}}, '4': {'VI': {'': {'crystal_radius': 0.725, 'ionic_radius': 0.585}}}, '6': {'IV': {'': {'crystal_radius': 0.39, 'ionic_radius': 0.25}}}}",no data K,80 W m<sup>-1</sup> K<sup>-1</sup>,no data,4910 m s<sup>-1</sup>,608 MN m<sup>-2</sup>,1.83,211 GPa,{'Fe-57': 160.0},1.277,64.0,64.0,Fe,26.0,0.0,0.8525,0.8525,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 6), (4, 's', 2)]",8.0,"(2, 3)","{2: 0.92, 3: 0.785}",False,False,False,False,False,False,True,False,False,False,True,False,True,Iron,6.0,-2.0,26.0,4.0,"(2, 6)",,,"{'2': 0.92, '3': 0.785}","{'2': 0.92, '3': 0.785}","{'2': 0.75, '3': 0.69, '4': 0.725, '6': 0.39}",,,,,,,0.92,,,,0.785
58.933195,27.0,"{'1s': -275.616639, '2p': -28.152095, '2s': -32.379758, '3d': -0.322368, '3p': -2.388285, '3s': -3.651812, '4s': -0.204497}",1.35,1.52,3200 K,700 MN m<sup>-2</sup>,180 GPa,13.0 x10<sup>-6</sup>K<sup>-1</sup>,"[2, 3]",no data K,8900 kg m<sup>-3</sup>,6 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>7</sup>.4s<sup>2</sup>,"[1, 2, 3, 4]",1432 K,1768 K,64.0,5.0,6.67 cm<sup>3</sup>,Cobalt,"[-1, 1, 2, 3, 4, 5]",0.31,67 %,no data,75 GPa,"{'2': {'IV': {'High Spin': {'crystal_radius': 0.72, 'ionic_radius': 0.58}}, 'V': {'': {'crystal_radius': 0.81, 'ionic_radius': 0.67}}, 'VI': {'Low Spin': {'crystal_radius': 0.79, 'ionic_radius': 0.65}, 'High Spin': {'crystal_radius': 0.885, 'ionic_radius': 0.745}}, 'VIII': {'': {'crystal_radius': 1.04, 'ionic_radius': 0.9}}}, '3': {'VI': {'High Spin': {'crystal_radius': 0.75, 'ionic_radius': 0.61}, 'Low Spin': {'crystal_radius': 0.685, 'ionic_radius': 0.545}}}, '4': {'IV': {'': {'crystal_radius': 0.54, 'ionic_radius': 0.4}}, 'VI': {'High Spin': {'crystal_radius': 0.67, 'ionic_radius': 0.53}}}}",no data K,100 W m<sup>-1</sup> K<sup>-1</sup>,no data,4720 m s<sup>-1</sup>,1043 MN m<sup>-2</sup>,1.88,209 GPa,{'Co-59': 420.3},1.25,67.0,67.0,Co,27.0,0.0,0.7683333333333334,0.7683333333333334,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 7), (4, 's', 2)]",9.0,"(1, 2, 3, 4)","{2: 0.885, 3: 0.75, 4: 0.67}",False,False,False,False,False,False,True,False,False,False,True,False,True,Cobalt,5.0,-1.0,27.0,4.0,"(2, 7)",,,"{'2': 0.885, '3': 0.75, '4': 0.67}","{'2': 0.885, '3': 0.75, '4': 0.67}","{'2': 0.79, '3': 0.685}",,,,,0.67,,0.885,,,,0.75
58.6934,28.0,"{'1s': -297.870824, '2p': -30.868027, '2s': -35.312112, '3d': -0.348699, '3p': -2.594158, '3s': -3.950717, '4s': -0.210764}",1.35,1.49,3186 K,700 MN m<sup>-2</sup>,180 GPa,13.4 x10<sup>-6</sup>K<sup>-1</sup>,[2],no data K,8908 kg m<sup>-3</sup>,7.2 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>8</sup>.4s<sup>2</sup>,"[1, 2, 3, 4]",1458 K,1728 K,67.0,4.0,6.59 cm<sup>3</sup>,Nickel,"[-1, 1, 2, 3, 4]",0.31,72 %,no data,76 GPa,"{'2': {'IV': {'': {'crystal_radius': 0.69, 'ionic_radius': 0.55}}, 'IVSQ': {'': {'crystal_radius': 0.63, 'ionic_radius': 0.49}}, 'V': {'': {'crystal_radius': 0.77, 'ionic_radius': 0.63}}, 'VI': {'': {'crystal_radius': 0.83, 'ionic_radius': 0.69}}}, '3': {'VI': {'Low Spin': {'crystal_radius': 0.7, 'ionic_radius': 0.56}, 'High Spin': {'crystal_radius': 0.74, 'ionic_radius': 0.6}}}, '4': {'VI': {'Low Spin': {'crystal_radius': 0.62, 'ionic_radius': 0.48}}}}",no data K,91 W m<sup>-1</sup> K<sup>-1</sup>,1.63,4970 m s<sup>-1</sup>,638 MN m<sup>-2</sup>,1.91,200 GPa,{'Ni-61': 162.15},1.246,70.0,70.0,Ni,28.0,0.0,0.74,0.74,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 8), (4, 's', 2)]",10.0,"(1, 2, 3, 4)",{3: 0.74},False,False,False,False,False,False,True,False,False,False,True,False,True,Nickel,4.0,-1.0,28.0,4.0,"(2, 8)",,,{'3': 0.74},{'3': 0.74},"{'2': 0.83, '3': 0.7, '4': 0.62}",,,,,,,,,,,0.74
63.546,29.0,"{'1s': -320.78852, '2p': -33.481247, '2s': -38.14131, '3d': -0.202272, '3p': -2.609244, '3s': -4.057453, '4s': -0.172056}",1.35,1.45,3200 K,874 MN m<sup>-2</sup>,140 GPa,16.5 x10<sup>-6</sup>K<sup>-1</sup>,[2],no data K,8920 kg m<sup>-3</sup>,1.72 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>10</sup>.4s<sup>1</sup>,"[1, 2, 3]",1842.23 K,1357.77 K,72.0,3.0,7.11 cm<sup>3</sup>,Copper,"[1, 2, 3, 4]",0.34,90 %,no data,48 GPa,"{'1': {'II': {'': {'crystal_radius': 0.6, 'ionic_radius': 0.46}}, 'IV': {'': {'crystal_radius': 0.74, 'ionic_radius': 0.6}}, 'VI': {'': {'crystal_radius': 0.91, 'ionic_radius': 0.77}}}, '2': {'IV': {'': {'crystal_radius': 0.71, 'ionic_radius': 0.57}}, 'IVSQ': {'': {'crystal_radius': 0.71, 'ionic_radius': 0.57}}, 'V': {'': {'crystal_radius': 0.79, 'ionic_radius': 0.65}}, 'VI': {'': {'crystal_radius': 0.87, 'ionic_radius': 0.73}}}, '3': {'VI': {'Low Spin': {'crystal_radius': 0.68, 'ionic_radius': 0.54}}}}",no data K,400 W m<sup>-1</sup> K<sup>-1</sup>,1.4,3570 m s<sup>-1</sup>,369 MN m<sup>-2</sup>,1.9,130 GPa,"{'Cu-63': -220.15, 'Cu-65': -204.14}",1.278,73.0,73.0,Cu,29.0,0.0,0.82,0.82,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 1)]",11.0,"(1, 2, 3)","{1: 0.91, 2: 0.87, 3: 0.68}",False,False,False,False,False,False,True,False,False,False,True,False,True,Copper,4.0,1.0,29.0,4.0,"(0, 1)",,,"{'1': 0.91, '2': 0.87, '3': 0.68}",,,,,,,,0.91,0.87,,,,0.68
65.409,30.0,"{'1s': -344.969756, '2p': -36.648765, '2s': -41.531323, '3d': -0.398944, '3p': -3.022363, '3s': -4.573041, '4s': -0.222725}",1.35,1.42,1180 K,412 MN m<sup>-2</sup>,70 GPa,30.2 x10<sup>-6</sup>K<sup>-1</sup>,[2],no data K,7140 kg m<sup>-3</sup>,6.0 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>10</sup>.4s<sup>2</sup>,[2],487.32 K,692.68 K,76.0,2.5,9.16 cm<sup>3</sup>,Zinc,"[1, 2]",0.25,80 %,1.002050,43 GPa,"{'2': {'IV': {'': {'crystal_radius': 0.74, 'ionic_radius': 0.6}}, 'V': {'': {'crystal_radius': 0.82, 'ionic_radius': 0.68}}, 'VI': {'': {'crystal_radius': 0.88, 'ionic_radius': 0.74}}, 'VIII': {'': {'crystal_radius': 1.04, 'ionic_radius': 0.9}}}}",0.85 K,120 W m<sup>-1</sup> K<sup>-1</sup>,1.39,3700 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.65,108 GPa,{'Zn-67': 150.15},1.34,76.0,76.0,Zn,30.0,0.0,0.88,0.88,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2)]",12.0,"(2,)",{2: 0.88},False,False,False,False,False,False,True,False,False,False,True,False,True,Zinc,2.0,1.0,30.0,4.0,,,,{'2': 0.88},,,,,,,,,0.88,,,,
69.723,31.0,"{'1s': -370.170639, '2p': -40.093339, '2s': -45.200869, '3d': -0.736204, '3p': -3.584666, '3s': -5.241645, '4p': -0.101634, '4s': -0.328019}",1.3,1.36,2477 K,60 MN m<sup>-2</sup>,no data GPa,120 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,5904 kg m<sup>-3</sup>,about  14 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>10</sup>.4s<sup>2</sup>.4p<sup>1</sup>,"[2, 3]",2174.09 K,302.91 K,81.0,1.5,11.80 cm<sup>3</sup>,Gallium,"[1, 2, 3]",no data,no data %,no data,no data GPa,"{'3': {'IV': {'': {'crystal_radius': 0.61, 'ionic_radius': 0.47}}, 'V': {'': {'crystal_radius': 0.69, 'ionic_radius': 0.55}}, 'VI': {'': {'crystal_radius': 0.76, 'ionic_radius': 0.62}}}}",1.083 K,29 W m<sup>-1</sup> K<sup>-1</sup>,1.87,2740 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.81,no data GPa,,1.35,79.0,79.0,Ga,31.0,0.0,0.76,0.76,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 1)]",13.0,"(2, 3)",{3: 0.76},False,False,False,False,False,False,True,False,False,True,False,False,False,Gallium,3.0,1.0,31.0,4.0,"(1, 1)",,,{'3': 0.76},,,,,,,,,,,,,0.76
72.64,32.0,"{'1s': -396.292991, '2p': -43.720129, '2s': -49.055282, '3d': -1.117316, '3p': -4.194822, '3s': -5.961472, '4p': -0.149882, '4s': -0.426523}",1.25,1.25,3093 K,no data MN m<sup>-2</sup>,no data GPa,6 x10<sup>-6</sup>K<sup>-1</sup>,"[-4, 2, 4]",no data K,5323 kg m<sup>-3</sup>,about 50000 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>10</sup>.4s<sup>2</sup>.4p<sup>2</sup>,"[2, 3, 4]",1881.6 K,1211.4 K,84.0,6.0,13.63 cm<sup>3</sup>,Germanium,"[-4, 1, 2, 3, 4]",no data,no data %,no data,no data GPa,"{'2': {'VI': {'': {'crystal_radius': 0.87, 'ionic_radius': 0.73}}}, '4': {'IV': {'': {'crystal_radius': 0.53, 'ionic_radius': 0.39}}, 'VI': {'': {'crystal_radius': 0.67, 'ionic_radius': 0.53}}}}",no data K,60 W m<sup>-1</sup> K<sup>-1</sup>,2.11,5400 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.01,no data GPa,,1.39,84.0,84.0,Ge,32.0,0.0,0.77,0.77,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 2)]",14.0,"(2, 3, 4)","{2: 0.87, 4: 0.67}",False,False,False,False,False,False,False,True,False,False,False,False,False,Germanium,4.0,-4.0,32.0,4.0,"(1, 2)",,,"{'2': 0.87, '4': 0.67}",,,,,,,0.67,,0.87,,,,
74.9216,33.0,"{'1s': -423.336658, '2p': -47.527869, '2s': -53.093086, '3d': -1.542767, '3p': -4.851725, '3s': -6.730755, '4p': -0.197497, '4s': -0.52367}",1.15,1.14,887 K,1440 MN m<sup>-2</sup>,22 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-3, 3, 5]",1700 K,5727 kg m<sup>-3</sup>,33 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>10</sup>.4s<sup>2</sup>.4p<sup>3</sup>,"[2, 3, 5, -2, -3, -1]",203 K,1090 K,89.0,3.5,12.95 cm<sup>3</sup>,Arsenic,"[-3, 2, 3, 5]",no data,no data %,1.001552,no data GPa,"{'3': {'VI': {'': {'crystal_radius': 0.72, 'ionic_radius': 0.58}}}, '5': {'IV': {'': {'crystal_radius': 0.475, 'ionic_radius': 0.335}}, 'VI': {'': {'crystal_radius': 0.6, 'ionic_radius': 0.46}}}}",no data K,50 W m<sup>-1</sup> K<sup>-1</sup>,1.85,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.18,8 GPa,,no data,89.0,89.0,As,33.0,0.0,0.6599999999999999,0.6599999999999999,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 3)]",15.0,"(2, 3, 5, -2, -3, -1)","{3: 0.72, 5: 0.6}",False,False,False,False,False,False,False,True,False,False,False,False,False,Arsenic,5.0,-3.0,33.0,4.0,"(1, 3)",,,"{'3': 0.72, '5': 0.6}",,,,,0.6,,,,,,,,0.72
78.96,34.0,"{'1s': -451.300258, '2p': -51.514388, '2s': -57.311948, '3d': -2.011392, '3p': -5.553517, '3s': -7.547186, '4p': -0.245806, '4s': -0.621248}",1.15,1.03,958 K,736 MN m<sup>-2</sup>,8.3 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-2, 2, 4, 6]",1766 K,4819 kg m<sup>-3</sup>,high 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>10</sup>.4s<sup>2</sup>.4p<sup>4</sup>,"[-1, 4, -2, 6]",464 K,494 K,93.0,2.0,16.42 cm<sup>3</sup>,Selenium,"[-2, 2, 4, 6]",0.33,no data %,1.000895,3.7 GPa,"{'-2': {'VI': {'': {'crystal_radius': 1.84, 'ionic_radius': 1.98}}}, '4': {'VI': {'': {'crystal_radius': 0.64, 'ionic_radius': 0.5}}}, '6': {'IV': {'': {'crystal_radius': 0.42, 'ionic_radius': 0.28}}, 'VI': {'': {'crystal_radius': 0.56, 'ionic_radius': 0.42}}}}",no data K,0.52 W m<sup>-1</sup> K<sup>-1</sup>,1.9,3350 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.55,10 GPa,,no data,95.0,95.0,Se,34.0,1.84,0.6000000000000001,1.0133333333333334,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 4)]",16.0,"(-1, 4, -2, 6)","{-2: 1.84, 4: 0.64, 6: 0.56}",False,False,False,True,False,False,False,False,False,False,False,False,False,Selenium,6.0,-2.0,34.0,4.0,"(1, 4)",,,"{'-2': 1.84, '4': 0.64, '6': 0.56}",,,,,,,0.64,,,1.84,,0.56,
79.904,35.0,"{'1s': -480.182643, '2p': -55.67796, '2s': -61.710022, '3d': -2.52211, '3p': -6.298805, '3s': -8.409057, '4p': -0.295334, '4s': -0.720066}",1.15,0.94,332 K,no data MN m<sup>-2</sup>,1.9 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,"[-1, 1, 3, 5, 7]",586 K,no data kg m<sup>-3</sup>,&gt; 10<sup>18</sup>10<sup>-8</sup> &Omega; m,[Ar].3d<sup>10</sup>.4s<sup>2</sup>.4p<sup>5</sup>,"[5, -1]",66.2 K,265.8 K,98.0,no data,19.78 cm<sup>3</sup>,Bromine,"[-1, 1, 3, 4, 5, 7]",no data,no data %,1.001132,no data GPa,"{'-1': {'VI': {'': {'crystal_radius': 1.82, 'ionic_radius': 1.96}}}, '3': {'IVSQ': {'': {'crystal_radius': 0.73, 'ionic_radius': 0.59}}}, '5': {'IIIPY': {'': {'crystal_radius': 0.45, 'ionic_radius': 0.31}}}, '7': {'IV': {'': {'crystal_radius': 0.39, 'ionic_radius': 0.25}}, 'VI': {'': {'crystal_radius': 0.53, 'ionic_radius': 0.39}}}}",no data K,0.12 W m<sup>-1</sup> K<sup>-1</sup>,1.85,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,2.96,no data GPa,,1.14,100.0,100.0,Br,35.0,1.82,0.57,0.8825000000000001,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 5)]",17.0,"(5, -1)","{-1: 1.82, 3: 0.73, 5: 0.45, 7: 0.53}",False,False,False,False,True,False,False,False,False,False,False,False,False,Bromine,7.0,-1.0,35.0,4.0,"(1, 5)",,,"{'-1': 1.82, '3': 0.73, '5': 0.45, '7': 0.53}",,,1.82,0.53,0.45,,,,,,,,0.73
83.798,36.0,"{'1s': -509.982989, '2p': -60.017328, '2s': -66.285953, '3d': -3.074109, '3p': -7.086634, '3s': -9.315192, '4p': -0.34634, '4s': -0.820574}",no data,0.88,119.93 K,no data MN m<sup>-2</sup>,no data GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,,209.4 K,no data kg m<sup>-3</sup>,no data 10<sup>-8</sup> &Omega; m,[Ar].3d<sup>10</sup>.4s<sup>2</sup>.4p<sup>6</sup>,,4.14 K,115.79 K,4.0,no data,27.99 cm<sup>3</sup>,Krypton,,no data,no data %,1.000427,no data GPa,,no data K,0.00943 W m<sup>-1</sup> K<sup>-1</sup>,2.02,1120 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,3.0,no data GPa,,no data,2.0,2.0,Kr,36.0,0.0,0.0,0.0,p,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6)]",18.0,(),{},False,False,False,False,False,False,False,False,True,False,False,False,False,Krypton,0.0,0.0,36.0,4.0,"(nan, 0)",0.0,0.0,,,,,,,,,,,,,,
85.4678,37.0,"{'1s': -540.957115, '2p': -64.784678, '2s': -71.291202, '3d': -3.915508, '3p': -8.165416, '3s': -10.513861, '4p': -0.59217, '4s': -1.135051, '5s': -0.085375}",2.35,2.65,961 K,0.216 MN m<sup>-2</sup>,2.5 GPa,no data x10<sup>-6</sup>K<sup>-1</sup>,[1],2093 K,1532 kg m<sup>-3</sup>,13.3 10<sup>-8</sup> &Omega; m,[Kr].5s<sup>1</sup>,[1],648.54 K,312.46 K,9.0,0.3,55.76 cm<sup>3</sup>,Rubidium,[1],no data,no data %,no data,no data GPa,"{'1': {'VI': {'': {'crystal_radius': 1.66, 'ionic_radius': 1.52}}, 'VII': {'': {'crystal_radius': 1.7, 'ionic_radius': 1.56}}, 'VIII': {'': {'crystal_radius': 1.75, 'ionic_radius': 1.61}}, 'IX': {'': {'crystal_radius': 1.77, 'ionic_radius': 1.63}}, 'X': {'': {'crystal_radius': 1.8, 'ionic_radius': 1.66}}, 'XI': {'': {'crystal_radius': 1.83, 'ionic_radius': 1.69}}, 'XII': {'': {'crystal_radius': 1.86, 'ionic_radius': 1.72}}, 'XIV': {'': {'crystal_radius': 1.97, 'ionic_radius': 1.83}}}}",no data K,58 W m<sup>-1</sup> K<sup>-1</sup>,3.03,1300 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,0.82,2.4 GPa,,2.537,8.0,8.0,Rb,37.0,0.0,1.66,1.66,s,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (5, 's', 1)]",1.0,"(1,)",{1: 1.66},False,True,False,False,False,False,True,False,False,False,False,False,False,Rubidium,1.0,1.0,37.0,5.0,"(0, 1)",,,{'1': 1.66},,,,,,,,1.66,,,,,
87.62,38.0,"{'1s': -572.870169, '2p': -69.745941, '2s': -76.491823, '3d': -4.813498, '3p': -9.301863, '3s': -11.771585, '4p': -0.844489, '4s': -1.455317, '5s': -0.131793}",2.0,2.19,1655 K,no data MN m<sup>-2</sup>,no data GPa,22.5 x10<sup>-6</sup>K<sup>-1</sup>,[2],no data K,2630 kg m<sup>-3</sup>,13.5 10<sup>-8</sup> &Omega; m,[Kr].5s<sup>2</sup>,[2],605 K,1050 K,15.0,1.5,33.94 cm<sup>3</sup>,Strontium,[2],0.28,no data %,no data,6.1 GPa,"{'2': {'VI': {'': {'crystal_radius': 1.32, 'ionic_radius': 1.18}}, 'VII': {'': {'crystal_radius': 1.35, 'ionic_radius': 1.21}}, 'VIII': {'': {'crystal_radius': 1.4, 'ionic_radius': 1.26}}, 'IX': {'': {'crystal_radius': 1.45, 'ionic_radius': 1.31}}, 'X': {'': {'crystal_radius': 1.5, 'ionic_radius': 1.36}}, 'XII': {'': {'crystal_radius': 1.58, 'ionic_radius': 1.44}}}}",no data K,35 W m<sup>-1</sup> K<sup>-1</sup>,2.49,no data m s<sup>-1</sup>,no data MN m<sup>-2</sup>,0.95,no data GPa,{'Sr-87': 305.2},2.151,14.0,14.0,Sr,38.0,0.0,1.32,1.32,s,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (5, 's', 2)]",2.0,"(2,)",{2: 1.32},False,False,True,False,False,False,True,False,False,False,True,False,False,Strontium,2.0,2.0,38.0,5.0,,,,{'2': 1.32},,,,,,,,,1.32,,,,
88.90585,39.0,"{'1s': -605.631981, '2p': -74.803201, '2s': -81.789102, '3d': -5.671499, '3p': -10.399926, '3s': -12.992217, '4d': -0.108691, '4p': -1.02449, '4s': -1.697124, '5s': -0.150727}",1.8,2.12,3609 K,589 MN m<sup>-2</sup>,41 GPa,10.6 x10<sup>-6</sup>K<sup>-1</sup>,[3],no data K,4472 kg m<sup>-3</sup>,about 60 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>1</sup>.5s<sup>2</sup>,[3],1810 K,1799 K,25.0,no data,19.88 cm<sup>3</sup>,Yttrium,"[1, 2, 3]",0.24,no data %,no data,26 GPa,"{'3': {'VI': {'': {'crystal_radius': 1.04, 'ionic_radius': 0.9}}, 'VII': {'': {'crystal_radius': 1.1, 'ionic_radius': 0.96}}, 'VIII': {'': {'crystal_radius': 1.159, 'ionic_radius': 1.019}}, 'IX': {'': {'crystal_radius': 1.215, 'ionic_radius': 1.075}}}}",1.3  (under pressure)K,17 W m<sup>-1</sup> K<sup>-1</sup>,no data,3300 m s<sup>-1</sup>,no data MN m<sup>-2</sup>,1.22,64 GPa,,1.8,48.0,48.0,Y,39.0,0.0,1.04,1.04,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 1), (5, 's', 2)]",3.0,"(3,)",{3: 1.04},False,False,False,False,False,False,True,False,False,False,False,False,True,Yttrium,3.0,1.0,39.0,5.0,"(2, 1)",,,{'3': 1.04},,,,,,,,,,,,,1.04
91.224,40.0,"{'1s': -639.292236, '2p': -80.010043, '2s': -87.237062, '3d': -6.544643, '3p': -11.514415, '3s': -14.230432, '4d': -0.150673, '4p': -1.186597, '4s': -1.918971, '5s': -0.162391}",1.55,2.06,4682 K,650 MN m<sup>-2</sup>,no data GPa,5.7 x10<sup>-6</sup>K<sup>-1</sup>,[4],no data K,6511 kg m<sup>-3</sup>,43.3 10<sup>-8</sup> &Omega; m,[Kr].4d<sup>2</sup>.5s<sup>2</sup>,"[2, 3, 4]",2554 K,2128 K,49.0,5.0,14.02 cm<sup>3</sup>,Zirconium,"[1, 2, 3, 4]",0.34,no data %,no data,33 GPa,"{'4': {'IV': {'': {'crystal_radius': 0.73, 'ionic_radius': 0.59}}, 'V': {'': {'crystal_radius': 0.8, 'ionic_radius': 0.66}}, 'VI': {'': {'crystal_radius': 0.86, 'ionic_radius': 0.72}}, 'VII': {'': {'crystal_radius': 0.92, 'ionic_radius': 0.78}}, 'VIII': {'': {'crystal_radius': 0.98, 'ionic_radius': 0.84}}, 'IX': {'': {'crystal_radius': 1.03, 'ionic_radius': 0.89}}}}",0.61 K,23 W m<sup>-1</sup> K<sup>-1</sup>,no data,3800 m s<sup>-1</sup>,903 MN m<sup>-2</sup>,1.33,68 GPa,,1.602,51.0,51.0,Zr,40.0,0.0,0.86,0.86,d,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 2), (5, 's', 2)]",4.0,"(2, 3, 4)",{4: 0.86},False,False,False,False,False,False,True,False,False,False,False,False,True,Zirconium,4.0,1.0,40.0,5.0,"(2, 2)",,,{'4': 0.86},,,,,,,0.86,,,,,,
